State,DATE,Unemployment Rate,GDP
Alaska,2011,7.8,56896.3
Alaska,2012,7.2,58283.6
Alaska,2013,7.0,57247.7
Alaska,2014,6.7,56484.9
Alaska,2015,6.3,51490.9
Alaska,2016,6.6,50727.7
Alaska,2017,6.5,53089.3
Alaska,2018,6.0,54711.7
Alaska,2019,5.5,54547.1
Alaska,2020,8.2,49820.0
Alaska,2021,6.4,54970.1
Alabama,2011,9.6,183916.6
Alabama,2012,8.2,189245.5
Alabama,2013,7.3,194786.9
Alabama,2014,6.7,197406.9
Alabama,2015,6.1,202372.4
Alabama,2016,5.9,207368.4
Alabama,2017,4.5,215085.9
Alabama,2018,3.9,224046.9
Alabama,2019,3.2,231171.8
Alabama,2020,6.5,226896.5
Alabama,2021,3.4,247092.5
Arkansas,2011,7.9,105768.1
Arkansas,2012,7.3,108492.1
Arkansas,2013,7.1,113227.3
Arkansas,2014,5.9,116139.4
Arkansas,2015,5.0,117786.8
Arkansas,2016,4.0,119152.4
Arkansas,2017,3.7,122350.2
Arkansas,2018,3.6,127306.5
Arkansas,2019,3.5,130839.9
Arkansas,2020,6.1,130750.7
Arkansas,2021,4.0,144545.4
Arizona,2011,9.4,260915.7
Arizona,2012,8.3,271440.0
Arizona,2013,7.8,278591.6
Arizona,2014,6.8,287666.6
Arizona,2015,6.1,299393.3
Arizona,2016,5.5,313081.4
Arizona,2017,5.0,330416.1
Arizona,2018,4.8,349907.5
Arizona,2019,4.9,369988.2
Arizona,2020,7.7,373719.0
Arizona,2021,4.9,411191.8
California,2011,11.9,2023500.0
California,2012,10.5,2113096.4
California,2013,9.0,2220389.9
California,2014,7.6,2335286.5
California,2015,6.3,2473555.9
California,2016,5.5,2569634.0
California,2017,4.8,2730973.9
California,2018,4.3,2895101.0
California,2019,4.1,3052645.2
California,2020,10.2,3007187.7
California,2021,7.3,3356631.4
Colorado,2011,8.7,267516.1
Colorado,2012,8.0,276823.1
Colorado,2013,6.7,292140.5
Colorado,2014,5.0,309542.6
Colorado,2015,3.7,320721.1
Colorado,2016,3.1,329911.7
Colorado,2017,2.6,348898.1
Colorado,2018,3.0,371424.6
Colorado,2019,2.6,392218.0
Colorado,2020,6.9,382584.7
Colorado,2021,5.4,421941.4
